Canonical broad categories: 22
Canonical heme subs: 8
Processing 670 docs (sample=False, force=False, workers=12)
[1/670] Neumega                  (2006) Other/Unmapped       -> Other                               | heme=- (high)
[294/670] Blincyto                 (2018) Leukemia             -> Hematological Malignancies          | heme=- (high)
[295/670] KYMRIAH                  (2018) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[296/670] TAVALISSE                (2018) Other/Unmapped       -> Other                               | heme=- (high)
[297/670] Opdivo and Yervoy        (2018) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[298/670] Imfinzi                  (2018) Lung                 -> Lung Cancers                        | heme=- (high)
[299/670] LUTATHERA                (2018) Other/Unmapped       -> Adrenal Cancer and Neuroendocrine Tumors | heme=- (high)
[300/670] TASIGNA                  (2018) Leukemia             -> Hematological Malignancies          | heme=- (high)
[301/670] VERZENIO                 (2018) Breast               -> Breast Cancer                       | heme=- (high)
[302/670] Oxbryta                  (2019) Other/Unmapped       -> Other                               | heme=- (high)
[303/670] PADCEV                   (2019) Other/Unmapped       -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[304/670] ENHERTU®                 (2019) Breast               -> Breast Cancer                       | heme=- (high)
[305/670] Zytiga                   (2018) Prostate             -> Prostate Cancer                     | heme=- (high)
[306/670] Erleada                  (2018) Prostate             -> Prostate Cancer                     | heme=- (high)
[307/670] Lynparza                 (2018) Breast               -> Breast Cancer                       | heme=- (high)
[308/670] LYNPARZA                 (2019) Other/Unmapped       -> Other                               | heme=- (high)
[309/670] ERLEADA                  (2019) Prostate             -> Prostate Cancer                     | heme=- (high)
[310/670] Gilotrif                 (2018) Lung                 -> Lung Cancers                        | heme=- (high)
[311/670] CALQUENCE                (2019) Lymphoma             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[312/670] REBLOZYL                 (2019) Other/Unmapped       -> Other                               | heme=- (high)
[313/670] BRUKINSA                 (2019) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[314/670]                          (2019) Lymphoma             -> Other                               | heme=- (high)
[315/670] DARZALEX                 (2019) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[316/670] ROZLYTREK                (2019) Other/Unmapped       -> Lung Cancers                        | heme=- (high)
[317/670] TURALIO™                 (2019) Other/Unmapped       -> Soft Tissue Cancers (including Heart) | heme=- (high)
[318/670] INREBIC                  (2019) Other/Unmapped       -> Hematological Malignancies          | heme=Myeloproliferative Neoplasms (high)
[319/670] ZEJULA                   (2019) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[320/670] NUBEQA                   (2019) Prostate             -> Prostate Cancer                     | heme=- (high)
[321/670] XPOVIO                   (2019) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[322/670] KEYTRUDA                 (2019) Other/Unmapped       -> Gastric (Stomach) Cancer            | heme=- (high)
[323/670] POLIVY                   (2019) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[324/670] KEYTRUDA                 (2019) Head and Neck        -> Head and Neck Cancers               | heme=- (high)
[325/670] XOSPATA                  (2019) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[326/670] PIQRAY                   (2019) Breast               -> Breast Cancer                       | heme=- (high)
[327/670] REVLIMID                 (2019) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[328/670] CYRAMZA                  (2019) Liver                -> Liver and Bile Duct Cancers         | heme=- (high)
[329/670] JAKAFI                   (2019) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[330/670] FRAGMIN                  (2019) Other/Unmapped       -> Other                               | heme=- (high)
[331/670] DARZALEX                 (2019) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[332/670] KEYTRUDA                 (2019) Lung                 -> Lung Cancers                        | heme=- (high)
[333/670] BAVENCIO                 (2019) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[334/670] VENCLEXTA                (2019) Lymphoma             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[335/670] TECENTRIQ                (2019) Lung                 -> Lung Cancers                        | heme=- (high)
[336/670] KEYTRUDA                 (2019) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[337/670] TIBSOVO                  (2019) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[338/670] LONSURF                  (2019) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[339/670] CABLIVI                  (2019) Other/Unmapped       -> Other                               | heme=- (high)
[340/670] BALVERSA                 (2019) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[341/670] CABOMETYX                (2019) Liver                -> Liver and Bile Duct Cancers         | heme=- (high)
[342/670] Herceptin Hylecta        (2019) Breast               -> Breast Cancer                       | heme=- (high)
[343/670] TECENTRIQ                (2019) Breast               -> Breast Cancer                       | heme=- (high)
[344/670] KEYTRUDA                 (2019) Lung                 -> Lung Cancers                        | heme=- (high)
[345/670] KEYTRUDA                 (2019) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[346/670] MARGENZA                 (2020) Breast               -> Breast Cancer                       | heme=- (high)
[347/670] TAGRISSO                 (2020) Lung                 -> Lung Cancers                        | heme=- (high)
[348/670] KEYTRUDA                 (2020) Breast               -> Breast Cancer                       | heme=- (high)
[349/670] KADCYLA                  (2019) Breast               -> Breast Cancer                       | heme=- (high)
[350/670] ORGOVYX                  (2020) Prostate             -> Prostate Cancer                     | heme=- (high)
[351/670] VITRAKVI                 (2020) Other/Unmapped       -> Other                               | heme=- (high)
[352/670] VENCLEXTA                (2020) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[353/670] Sonalleve MR-HIFU system (2020) Other/Unmapped       -> Bone and Joint Cancers              | heme=- (high)
[354/670] GAVRETO                  (2020) Lung                 -> Lung Cancers                        | heme=- (high)
[355/670] ONUREG                   (2020) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[356/670] Tecentriq                (2020) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[357/670] KEYTRUDA                 (2020) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[358/670] Tecentriq                (2020) Breast               -> Breast Cancer                       | heme=- (high)
[359/670] FoundationOne Liquid CDx (2020) Ovarian              -> Gynecological Cancers               | heme=- (high)
[360/670] TECARTUS                 (2020) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[361/670] RUBRACA                  (2020) Prostate             -> Prostate Cancer                     | heme=- (high)
[362/670] KYPROLIS and DARZALEX    (2020) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[363/670] MONJUVI                  (2020) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[364/670] INQOVI                   (2020) Myelodysplastic Syndrome -> Hematological Malignancies          | heme=Myelodysplastic Syndromes (high)
[365/670] PHESGO                   (2020) Breast               -> Breast Cancer                       | heme=- (high)
[366/670] BAVENCIO                 (2020) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[367/670] KEYTRUDA                 (2020) Other/Unmapped       -> Skin Cancers                        | heme=- (high)
[368/670] XPOVIO                   (2020) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[369/670] TAZVERIK                 (2020) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[370/670] OPDIVO                   (2020) Other/Unmapped       -> Gastric (Stomach) Cancer            | heme=- (high)
[371/670] ZEPZELCA                 (2020) Lung                 -> Lung Cancers                        | heme=- (high)
[372/670] MYLOTARG                 (2020) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[373/670] XPOVIO                   (2020) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[374/670] CYRAMZA                  (2020) Lung                 -> Lung Cancers                        | heme=- (high)
[375/670] KEYTRUDA                 (2020) Other/Unmapped       -> Other                               | heme=- (high)
[376/670] RUBRACA                  (2020) Prostate             -> Prostate Cancer                     | heme=- (high)
[377/670] OPDIVO, YERVOY           (2020) Lung                 -> Lung Cancers                        | heme=- (high)
[378/670] TECENTRIQ and AVASTIN    (2020) Liver                -> Liver and Bile Duct Cancers         | heme=- (high)
[379/670] QINLOCK                  (2020) Sarcoma              -> Soft Tissue Cancers (including Heart) | heme=- (high)
[380/670] LYNPARZA                 (2020) Prostate             -> Prostate Cancer                     | heme=- (high)
[381/670] TECENTRIQ                (2020) Lung                 -> Lung Cancers                        | heme=- (high)
[382/670] RETEVMO                  (2020) Lung                 -> Lung Cancers                        | heme=- (high)
[383/670] POMALYST                 (2020) Sarcoma              -> Other                               | heme=- (high)
[384/670] PEMAZYRE                 (2020) Other/Unmapped       -> Liver and Bile Duct Cancers         | heme=- (high)
[385/670] OPDIVO, YERVOY           (2020) Lung                 -> Lung Cancers                        | heme=- (high)
[386/670] ZEJULA                   (2020) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[387/670] IMBRUVICA                (2020) Lymphoma             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[388/670] DARZALEX FASPRO          (2020) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[389/670] TABRECTA                 (2020) Lung                 -> Lung Cancers                        | heme=- (high)
[390/670] TRODELVY                 (2020) Breast               -> Breast Cancer                       | heme=- (high)
[391/670] TUKYSA                   (2020) Breast               -> Breast Cancer                       | heme=- (high)
[392/670] BRAFTOVI                 (2020) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[393/670] JELMYTO                  (2020) Other/Unmapped       -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[394/670] KEYTRUDA                 (2020) Leukemia             -> Other                               | heme=- (high)
[395/670] REBLOZYL                 (2020) Myelodysplastic Syndrome -> Hematological Malignancies          | heme=Myelodysplastic Syndromes (high)
[396/670] NERLYNX                  (2020) Breast               -> Breast Cancer                       | heme=- (high)
[397/670] OPDIVO, YERVOY           (2020) Liver                -> Liver and Bile Duct Cancers         | heme=- (high)
[398/670] SARCLISA                 (2020) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[399/670] Orencia                  (2021) Other/Unmapped       -> Other                               | heme=- (high)
[400/670] Keytruda                 (2021) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[401/670] TAZVERIK                 (2020) Sarcoma              -> Soft Tissue Cancers (including Heart) | heme=- (high)
[402/670] AYVAKIT                  (2020) Sarcoma              -> Soft Tissue Cancers (including Heart) | heme=- (high)
[403/670] Cytalux                  (2021) Ovarian              -> Gynecological Cancers               | heme=- (high)
[404/670] KOSELUGO                 (2020) Other/Unmapped       -> Specific Syndromes                  | heme=- (high)
[405/670] KEYTRUDA                 (2020) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[406/670] IMFINZI                  (2020) Lung                 -> Lung Cancers                        | heme=- (high)
[407/670] Rituxan                  (2021) Lymphoma             -> Pediatric Cancers                   | heme=- (high)
[408/670] Darzalex Faspro and Kypr (2021) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[409/670] Keytruda                 (2021) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[410/670] Fyarro                   (2021) Other/Unmapped       -> Soft Tissue Cancers (including Heart) | heme=- (high)
[411/670]                          (2021) Other/Unmapped       -> Other                               | heme=- (high)
[412/670] Verzenio                 (2021) Breast               -> Breast Cancer                       | heme=- (high)
[413/670] Tecentriq                (2021) Lung                 -> Lung Cancers                        | heme=- (high)
[414/670] Tecartus                 (2021) Leukemia             -> Hematological Malignancies          | heme=- (high)
[415/670] Keytruda                 (2021) Cervical             -> Gynecological Cancers               | heme=- (high)
[416/670] Cabometyx                (2021) Thyroid              -> Thyroid Cancer                      | heme=- (high)
[417/670] Brukinsa                 (2021) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[418/670] Tibsovo                  (2021) Other/Unmapped       -> Liver and Bile Duct Cancers         | heme=- (high)
[419/670] Jakafi                   (2021) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[420/670] Scemblix                 (2021) Leukemia             -> Hematological Malignancies          | heme=- (high)
[421/670] Tivdak                   (2021) Cervical             -> Gynecological Cancers               | heme=- (high)
[422/670] Lenvima, Keytruda        (2021) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[423/670] Brukinsa                 (2021) Other/Unmapped       -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[424/670] Exkivity                 (2021) Lung                 -> Lung Cancers                        | heme=- (high)
[425/670] Keytruda and Lenvima     (2021) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[426/670] Welireg                  (2021) Renal                -> Specific Syndromes                  | heme=- (high)
[427/670] Keytruda                 (2021) Breast               -> Breast Cancer                       | heme=- (high)
[428/670] Truseltiq                (2021) Other/Unmapped       -> Liver and Bile Duct Cancers         | heme=- (high)
[429/670] Rezurock                 (2021) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[430/670] Padcev                   (2021) Other/Unmapped       -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[431/670] Darzalex Faspro          (2021) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[432/670] Ayvakit                  (2021) Leukemia             -> Hematological Malignancies          | heme=Systemic Mastocytosis (high)
[433/670] Lumakras                 (2021) Lung                 -> Lung Cancers                        | heme=- (high)
[434/670] Rylaze                   (2021) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[435/670] Opdivo                   (2021) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[436/670] Jemperli                 (2021) Other/Unmapped       -> Other                               | heme=- (high)
[437/670] Rybrevant                (2021) Lung                 -> Lung Cancers                        | heme=- (high)
[438/670] Keytruda                 (2021) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[439/670] Jemperli                 (2021) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[440/670] Zynlonta                 (2021) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[441/670] Sarclisa                 (2021) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[442/670] Opdivo                   (2021) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[443/670] Yescarta                 (2021) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[444/670] Trodelvy                 (2021) Other/Unmapped       -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[445/670] Keytruda                 (2021) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[446/670] Fotivda                  (2021) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[447/670] Abecma                   (2021) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[448/670] Lorbrena                 (2021) Lymphoma             -> Lung Cancers                        | heme=- (high)
[449/670] Libtayo                  (2021) Other/Unmapped       -> Skin Cancers                        | heme=- (high)
[450/670] Libtayo                  (2021) Lung                 -> Lung Cancers                        | heme=- (high)
[451/670] Erbitux                  (2021) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[452/670] Trodelvy                 (2021) Breast               -> Breast Cancer                       | heme=- (high)
[453/670] Ukoniq                   (2021) Other/Unmapped       -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[454/670] Tepmetko                 (2021) Lung                 -> Lung Cancers                        | heme=- (high)
[455/670] Pepaxto                  (2021) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[456/670] Breyanzi                 (2021) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[457/670] Opdivo and Cabometyx     (2021) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[458/670] Darzalex Faspro          (2021) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[459/670] Xalkori                  (2021) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[460/670] Xeloda                   (2022) Other/Unmapped       -> Other                               | heme=- (high)
[461/670] Tecentriq                (2022) Sarcoma              -> Soft Tissue Cancers (including Heart) | heme=- (high)
[462/670] Enhertu                  (2021) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[463/670] Imjudo                   (2022) Lymphoma             -> Lung Cancers                        | heme=- (high)
[464/670] Lunsumio                 (2022) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[465/670] Adcetris                 (2022) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[466/670] Adstiladrin              (2022) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[467/670] Krazati                  (2022) Lung                 -> Lung Cancers                        | heme=- (high)
[468/670] Rylaze                   (2022) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[469/670] Rezlidhia                (2022) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[470/670] Elahere                  (2022) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[471/670] Libtayo                  (2022) Lung                 -> Lung Cancers                        | heme=- (high)
[472/670] Pedmark                  (2022) Other/Unmapped       -> Other                               | heme=- (high)
[473/670] Lytgobi                  (2022) Other/Unmapped       -> Liver and Bile Duct Cancers         | heme=- (high)
[474/670] Retevmo                  (2022) Other/Unmapped       -> Other                               | heme=- (high)
[475/670] Tabrecta                 (2022) Lung                 -> Lung Cancers                        | heme=- (high)
[476/670] Pemazyre                 (2022) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[477/670] Retevmo                  (2022) Lung                 -> Lung Cancers                        | heme=- (high)
[478/670] Imjudo                   (2022) Liver                -> Liver and Bile Duct Cancers         | heme=- (high)
[479/670] Imfinzi                  (2022) Other/Unmapped       -> Liver and Bile Duct Cancers         | heme=- (high)
[480/670] Tecvayli                 (2022) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[481/670] Imbruvica                (2022) Other/Unmapped       -> Other                               | heme=- (high)
[482/670] Enhertu                  (2022) Lung                 -> Lung Cancers                        | heme=- (high)
[483/670] Nubeqa                   (2022) Prostate             -> Prostate Cancer                     | heme=- (high)
[484/670] Enhertu                  (2022) Breast               -> Breast Cancer                       | heme=- (high)
[485/670] Opdivo                   (2022) Other/Unmapped       -> Gastric (Stomach) Cancer            | heme=- (high)
[486/670] Xalkori                  (2022) Lymphoma             -> Soft Tissue Cancers (including Heart) | heme=- (high)
[487/670] Enhertu                  (2022) Breast               -> Breast Cancer                       | heme=- (high)
[488/670] Tibsovo                  (2022) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[489/670] Tafinlar, Mekinist       (2022) Other/Unmapped       -> Other                               | heme=- (high)
[490/670] Kymriah                  (2022) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[491/670] Vidaza                   (2022) Leukemia             -> Hematological Malignancies          | heme=- (high)
[492/670] Breyanzi                 (2022) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[493/670] Vijoice                  (2022) Other/Unmapped       -> Other                               | heme=- (high)
[494/670] Opdualag                 (2022) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[495/670] Lynparza                 (2022) Breast               -> Breast Cancer                       | heme=- (high)
[496/670] Pluvicto                 (2022) Prostate             -> Prostate Cancer                     | heme=- (high)
[497/670] Opdivo                   (2022) Lung                 -> Lung Cancers                        | heme=- (high)
[498/670] Kimmtrak                 (2022) Melanoma/Skin        -> Ocular Cancers                      | heme=- (high)
[499/670] CARVYKTI                 (2022) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[500/670] Xtandi                   (2023) Prostate             -> Prostate Cancer                     | heme=- (high)
[501/670] OGSIVEO                  (2023) Other/Unmapped       -> Soft Tissue Cancers (including Heart) | heme=- (high)
[502/670] Welireg                  (2023) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[503/670] Jaypirca                 (2023) Lymphoma             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[504/670] Yescarta                 (2022) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[505/670] Truqap                   (2023) Breast               -> Breast Cancer                       | heme=- (high)
[506/670] IWILFIN                  (2023) Neuroblastoma        -> Pediatric Cancers                   | heme=- (high)
[507/670] Padcev                   (2023) Other/Unmapped       -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[508/670] Keytruda                 (2022) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[509/670] Augtyro                  (2023) Lung                 -> Lung Cancers                        | heme=- (high)
[510/670] Keytruda                 (2023) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[511/670] Fruzaqla                 (2023) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[512/670] Keytruda                 (2023) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[513/670] Keytruda                 (2023) Lung                 -> Lung Cancers                        | heme=- (high)
[514/670] Rozlytrek                (2023) Other/Unmapped       -> Pediatric Cancers                   | heme=- (high)
[515/670] Keytruda                 (2023) Other/Unmapped       -> Liver and Bile Duct Cancers         | heme=- (high)
[516/670] LOQTORZ                  (2023) Other/Unmapped       -> Head and Neck Cancers               | heme=- (high)
[517/670] Tibsovo                  (2023) Myelodysplastic Syndrome -> Hematological Malignancies          | heme=Myelodysplastic Syndromes (high)
[518/670] Temodar                  (2023) Other/Unmapped       -> Brain and Other Nervous System      | heme=- (high)
[519/670] Braftovi and Mektovi     (2023) Lung                 -> Lung Cancers                        | heme=- (high)
[520/670] HEPZATO KIT              (2023) Melanoma/Skin        -> Ocular Cancers                      | heme=- (high)
[521/670] Bosulif                  (2023) Leukemia             -> Hematological Malignancies          | heme=- (high)
[522/670] Gavreto                  (2023) Lung                 -> Lung Cancers                        | heme=- (high)
[523/670] Akeega                   (2023) Prostate             -> Prostate Cancer                     | heme=- (high)
[524/670] LONSURF                  (2023) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[525/670] Opdivo                   (2023) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[526/670] Talvey                   (2023) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[527/670] Elrexfio                 (2023) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[528/670] Jemperli                 (2023) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[529/670] Columvi                  (2023) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[530/670] Talzenna                 (2023) Prostate             -> Prostate Cancer                     | heme=- (high)
[531/670] Tafinlar, Mekinist       (2023) CNS/Brain            -> Pediatric Cancers                   | heme=- (high)
[532/670] Zynyz                    (2023) Other/Unmapped       -> Skin Cancers                        | heme=- (high)
[533/670] Vanflyta                 (2023) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[534/670] Omisirge                 (2023) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[535/670] Lynparza                 (2023) Prostate             -> Prostate Cancer                     | heme=- (high)
[536/670] Epkinly                  (2023) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[537/670] Verzenio                 (2023) Breast               -> Breast Cancer                       | heme=- (high)
[538/670] Orserdu                  (2023) Breast               -> Breast Cancer                       | heme=- (high)
[539/670] Brukinsa                 (2023) Lymphoma             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[540/670] Trodelvy                 (2023) Breast               -> Breast Cancer                       | heme=- (high)
[541/670] Jemperli                 (2023) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[542/670] Jaypirca                 (2023) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[543/670] Braftovi                 (2024) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[544/670] Keytruda                 (2023) Lung                 -> Lung Cancers                        | heme=- (high)
[545/670] Ryoncil                  (2024) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[546/670] Padcev, Keytruda         (2023) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[547/670] Opdivo Qvantig           (2024) Lung                 -> Lung Cancers                        | heme=- (medium)
[548/670] Ensacove                 (2024) Lymphoma             -> Lung Cancers                        | heme=- (high)
[549/670] Tukysa                   (2023) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[550/670] Imfinzi                  (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[551/670] Ziihera                  (2024) Other/Unmapped       -> Liver and Bile Duct Cancers         | heme=- (high)
[552/670] Fludarabine Phosphate In (2024) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[553/670] Scemblix                 (2024) Leukemia             -> Hematological Malignancies          | heme=- (high)
[554/670] Unloxcyt                 (2024) Other/Unmapped       -> Skin Cancers                        | heme=- (high)
[555/670] Bizengri                 (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[556/670] Aucatzyl                 (2024) Leukemia             -> Hematological Malignancies          | heme=- (high)
[557/670] Vyloy                    (2024) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[558/670] Itovebi                  (2024) Breast               -> Breast Cancer                       | heme=- (high)
[559/670] Retevmo                  (2024) Thyroid              -> Thyroid Cancer                      | heme=- (high)
[560/670] Tagrisso                 (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[561/670] Sarclisa                 (2024) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[562/670] Opdivo                   (2024) Lymphoma             -> Lung Cancers                        | heme=- (high)
[563/670] Keytruda                 (2024) Other/Unmapped       -> Mesothelioma                        | heme=- (high)
[564/670] Revuforj                 (2024) Leukemia             -> Hematological Malignancies          | heme=- (high)
[565/670] Rybrevant                (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[566/670] Kisqali                  (2024) Breast               -> Breast Cancer                       | heme=- (high)
[567/670] Tecentriq Hybreza        (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[568/670] Imfinzi                  (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[569/670] Voranigo                 (2024) Other/Unmapped       -> Brain and Other Nervous System      | heme=- (high)
[570/670] Niktimvo                 (2024) Other/Unmapped       -> Other                               | heme=- (high)
[571/670] TECELRA                  (2024) Sarcoma              -> Soft Tissue Cancers (including Heart) | heme=- (high)
[572/670] Epkinly                  (2024) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[573/670] Keytruda                 (2024) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[574/670] Lazcluze and Rybrevant   (2024) Lung                 -> Lung Cancers                        | heme=- (high)
[575/670] Blincyto                 (2024) Leukemia             -> Hematological Malignancies          | heme=- (high)
[576/670] Jemperli                 (2024) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[577/670] Darzalex Faspro          (2024) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[578/670] Krazati                  (2024) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[579/670] Imfinzi                  (2024) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[580/670] Rytelo                   (2024) Myelodysplastic Syndrome -> Hematological Malignancies          | heme=Myelodysplastic Syndromes (high)
[581/670] Retevmo                  (2024) Other/Unmapped       -> Thyroid Cancer                      | heme=- (high)
[582/670] Breyanzi                 (2024) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[583/670] Retevmo                  (2024) Thyroid              -> Thyroid Cancer                      | heme=- (high)
