Trial (NCT),Condition,Arm,Interventions,OS median,OS 95% CI low,OS 95% CI high,OS N,PFS median,PFS 95% CI low,PFS 95% CI high,PFS N,ORR %,CT.gov last updated
NCT02575339,"Hepatocellular Carcinoma; Liver Cancer; HCC; Carcinoma, Hepatocellular; Liver Neoplasms","Phase I, Level 2: 20mg of MLN0128","MLN0128, MLN0128 (RP2D), Sorafenib",10.58,6.48,12.78,4.0,2.83,1.42,5.52,4.0,0.0,2022-07-26
NCT03519997,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Pembro + Bavi,"Pembrolizumab, Bavituximab",,,,,,,,,9.0,2026-02-11
NCT00143403,Colorectal Neoplasms; Liver Neoplasms; Colorectal Neoplasms; Liver Neoplasms,5-FU/FA,"Irinotecan + 5 FU + folinic acid, Folinic Acid + 5 FU",0.961,,,153.0,,,,,,2010-09-28
NCT00143403,Colorectal Neoplasms; Liver Neoplasms; Colorectal Neoplasms; Liver Neoplasms,Irinotecan + 5-FU/FA,"Irinotecan + 5 FU + folinic acid, Folinic Acid + 5 FU",0.973,,,153.0,,,,,,2010-09-28
NCT01642186,Fibrolamellar Carcinoma; Fibrolamellar Liver Cancer; Fibrolamellar hepatocellular carcinoma,Arm A Everolimus,"everolimus, letrozole plus leuprolide, combination of everolimus, letrozole and leuprolide",12.5,2.7,41.9,9.0,0.0,,,9.0,,2022-12-29
NCT01642186,Fibrolamellar Carcinoma; Fibrolamellar Liver Cancer; Fibrolamellar hepatocellular carcinoma,Arm B Letrozole Plus Leuprolide,"everolimus, letrozole plus leuprolide, combination of everolimus, letrozole and leuprolide",14.0,3.2,22.4,9.0,0.0,,,9.0,,2022-12-29
NCT01642186,Fibrolamellar Carcinoma; Fibrolamellar Liver Cancer; Fibrolamellar hepatocellular carcinoma,"Arm C Combination Everolimus, Letrozole and Leuprolide","everolimus, letrozole plus leuprolide, combination of everolimus, letrozole and leuprolide",10.6,2.3,20.9,10.0,0.0,,,10.0,,2022-12-29
NCT01043523,"Liver Neoplasms; Adenoma; Carcinoma; Liver Abscess; Liver Neoplasms; Adenoma; Carcinoma; Liver Abscess; Carcinoma, Hepatocellular","Gadoxetic Acid Disodium (Eovist, BAY86-4873)","Gadoxetic Acid Disodium (Eovist, BAY86-4873)",,,,,,,,,,2016-11-28
NCT03434379,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",Atezolizumab + Bevacizumab - Global,"Atezolizumab, Bevacizumab, Sorafenib",,,,336.0,,,,,27.3,2023-10-23
NCT03434379,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",Sorafenib - Global,"Atezolizumab, Bevacizumab, Sorafenib",13.24,10.41,,165.0,,,,,11.9,2023-10-23
NCT04891874,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",SBRT Group,Stereotactic radiotherapy,29.0,,,38.0,,,,,,2021-09-10
NCT04891874,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Surgery Alone Group,Stereotactic radiotherapy,20.0,,,38.0,,,,,,2021-09-10
NCT01880554,Liver Metastases From Colorectal Primary Cancer,Contrast-enhanced Intraoperative Ultrasound,Contrast-enhanced intraoperative ultrasound,,,,,,,,,,2025-09-03
NCT04258566,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Optical Plus Fusion for Liver Biopsy,"Optical Molecular Imaging (OMI), Indocyanine Green (ICG), Electromagnetic Tracking",,,,,,,,,,2026-02-02
NCT01164202,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",Placebo,"sunitinib malate, Placebo, transarterial chemoembolization",20.5,15.1,30.6,38.0,,,,,,2022-03-18
NCT01164202,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",Sunitinib,"sunitinib malate, Placebo, transarterial chemoembolization",25.0,13.5,36.8,39.0,,,,,,2022-03-18
NCT01596283,Liver Cancer; Liver Neoplasms,Goal Directed Fluid Therapy,"Standard fluid management, Goal directed fluid therapy with the Edwards EV1000 system",,,,,,,,,,2017-10-18
NCT01596283,Liver Cancer; Liver Neoplasms,Standard Fluid Management,"Standard fluid management, Goal directed fluid therapy with the Edwards EV1000 system",,,,,,,,,,2017-10-18
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 1 Group A: INCAGN01876 1.0 mg/kg Q2W + Nivolumab 240 mg Q2W,"INCAGN01876, Nivolumab, Ipilimumab",,76.0,,4.0,52.5,48.0,,4.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 1 Group A: INCAGN01876 10.0 mg/kg Q2W + Nivolumab 240 mg Q2W,"INCAGN01876, Nivolumab, Ipilimumab",100.0,76.0,,4.0,64.0,48.0,,4.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 1 Group A: INCAGN01876 3.0 mg/kg Q2W + Nivolumab 240 mg Q2W,"INCAGN01876, Nivolumab, Ipilimumab",,55.0,,4.0,72.0,53.0,,4.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 1 Group A: INCAGN01876 5.0 mg/kg Q2W + Nivolumab 240 mg Q2W,"INCAGN01876, Nivolumab, Ipilimumab",253.0,77.0,,5.0,53.0,9.0,,5.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell","Phase 1 Group B: INCAGN01876 1.0 mg/kg Q2W, Then Nivolumab 240 mg Q2W","INCAGN01876, Nivolumab, Ipilimumab",289.5,170.0,,5.0,47.5,29.0,,5.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell","Phase 1 Group B: INCAGN01876 3.0 mg/kg Q2W, Then Nivolumab 240 mg Q2W","INCAGN01876, Nivolumab, Ipilimumab",266.5,100.0,,4.0,60.0,50.0,,4.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell","Phase 1 Group B: INCAGN01876 5.0 mg/kg Q2W, Then Nivolumab 240 mg Q2W","INCAGN01876, Nivolumab, Ipilimumab",588.0,424.0,,4.0,88.5,44.0,,4.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 1 Group C: INCAGN01876 1.0 mg/kg Q2W + Ipilimumab 1 mg/kg Q6W,"INCAGN01876, Nivolumab, Ipilimumab",200.0,97.0,,4.0,41.0,15.0,,4.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 1 Group C: INCAGN01876 3.0 mg/kg Q2W + Ipilimumab 1 mg/kg Q6W,"INCAGN01876, Nivolumab, Ipilimumab",425.0,110.0,,8.0,110.0,53.0,276.0,8.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 1 Group C: INCAGN01876 5.0 mg/kg Q2W + Ipilimumab 1 mg/kg Q6W,"INCAGN01876, Nivolumab, Ipilimumab",627.0,128.0,,3.0,56.0,53.0,,3.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 1 Group D: INCAGN01876 + Nivolumab + Ipilimumab,"INCAGN01876, Nivolumab, Ipilimumab",229.5,46.0,,6.0,54.5,21.0,,6.0,,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 2 Group C2 PD-1/PD-L1 RM: INCAGN01876 300 mg + Ipilimumab 1 mg/kg,"INCAGN01876, Nivolumab, Ipilimumab",,,,,,,,,0.0,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 2 Group F Biopsy: INCAGN01876 300 mg + Nivolumab 240 mg,"INCAGN01876, Nivolumab, Ipilimumab",,,,,,,,,0.0,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 2 Group F CC: INCAGN01876 300 mg + Nivolumab 240 mg,"INCAGN01876, Nivolumab, Ipilimumab",,,,,,,,,16.7,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 2 Group F GC: INCAGN01876 300 mg + Nivolumab 240 mg,"INCAGN01876, Nivolumab, Ipilimumab",,,,,,,,,0.0,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 2 Group F PD-1/PD-L1 RM: INCAGN01876 300 mg + Nivolumab 240 mg,"INCAGN01876, Nivolumab, Ipilimumab",,,,,,,,,0.0,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Phase 2 Group F SCCHN INCAGN01876 300 mg + Nivolumab 240 mg,"INCAGN01876, Nivolumab, Ipilimumab",,,,,,,,,23.9,2025-08-14
NCT03126110,"Advanced Malignancies; Metastatic Cancer; Neoplasm Metastasis; Uterine Cervical Neoplasms; Endometrial Neoplasms; Stomach Neoplasms; Carcinoma, Hepatocellular; Melanoma; Carcinoma, Merkel Cell; Mesothelioma; Colorectal Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Small Cell Lung Carcinoma; Carcinoma, Renal Cell; Triple Negative Breast Neoplasms; Carcinoma, Transitional Cell",Total,"INCAGN01876, Nivolumab, Ipilimumab",,,,,,,,,,2025-08-14
NCT02095678,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Dynamic Contrast Enhanced MRI,"liver biopsy, free-breathing MRI",,,,,,,,,,2022-06-30
NCT02095678,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Free-Breathing Quantification of Relaxation Parameters,"liver biopsy, free-breathing MRI",,,,,,,,,,2022-06-30
NCT01933789,"Critical Illness; Chronic Disease; Terminal Care; Palliative Care; Communication; Advance Care Planning; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Critical Illness; Chronic Disease; Communication; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Anxiety Disorders; Depression",Clinician Control,Communication Feedback Form for Patients with Serious Illness,,,,,,,,,,2019-03-20
NCT01933789,"Critical Illness; Chronic Disease; Terminal Care; Palliative Care; Communication; Advance Care Planning; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Critical Illness; Chronic Disease; Communication; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Anxiety Disorders; Depression",Clinician Intervention,Communication Feedback Form for Patients with Serious Illness,,,,,,,,,,2019-03-20
NCT01933789,"Critical Illness; Chronic Disease; Terminal Care; Palliative Care; Communication; Advance Care Planning; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Critical Illness; Chronic Disease; Communication; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Anxiety Disorders; Depression",Family Member Control,Communication Feedback Form for Patients with Serious Illness,,,,,,,,,,2019-03-20
NCT01933789,"Critical Illness; Chronic Disease; Terminal Care; Palliative Care; Communication; Advance Care Planning; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Critical Illness; Chronic Disease; Communication; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Anxiety Disorders; Depression",Family Member Intervention,Communication Feedback Form for Patients with Serious Illness,,,,,,,,,,2019-03-20
NCT01933789,"Critical Illness; Chronic Disease; Terminal Care; Palliative Care; Communication; Advance Care Planning; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Critical Illness; Chronic Disease; Communication; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Anxiety Disorders; Depression",IP Team Control,Communication Feedback Form for Patients with Serious Illness,,,,,,,,,,2019-03-20
NCT01933789,"Critical Illness; Chronic Disease; Terminal Care; Palliative Care; Communication; Advance Care Planning; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Critical Illness; Chronic Disease; Communication; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Anxiety Disorders; Depression",IP Team Intervention,Communication Feedback Form for Patients with Serious Illness,,,,,,,,,,2019-03-20
NCT01933789,"Critical Illness; Chronic Disease; Terminal Care; Palliative Care; Communication; Advance Care Planning; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Critical Illness; Chronic Disease; Communication; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Anxiety Disorders; Depression",Interviewees,Communication Feedback Form for Patients with Serious Illness,,,,,,,,,,2019-03-20
NCT01933789,"Critical Illness; Chronic Disease; Terminal Care; Palliative Care; Communication; Advance Care Planning; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Critical Illness; Chronic Disease; Communication; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Anxiety Disorders; Depression",Patient Control,Communication Feedback Form for Patients with Serious Illness,,,,,,,,,,2019-03-20
NCT01933789,"Critical Illness; Chronic Disease; Terminal Care; Palliative Care; Communication; Advance Care Planning; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Critical Illness; Chronic Disease; Communication; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; End Stage Liver Disease; Kidney Failure, Chronic; Anxiety Disorders; Depression",Patient Intervention,Communication Feedback Form for Patients with Serious Illness,,,,,,,,,,2019-03-20
NCT01839877,Colorectal Cancer With Non Resectable Hepatic Metastasis; Colorectal Neoplasms,HIA DEBIRI + Systemic FOLFOX,HIA DEBIRI + systemic FOLFOX,37.4,25.7,45.8,57.0,30.0,,,56.0,,2024-10-08
NCT00881751,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",Arm I,"bevacizumab, erlotinib hydrochloride, sorafenib tosylate",8.55,7.0,13.9,47.0,,,,,,2017-09-11
NCT00881751,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",Arm II,"bevacizumab, erlotinib hydrochloride, sorafenib tosylate",8.55,5.69,12.2,43.0,,,,,,2017-09-11
NCT02273739,Solid Tumor; Glioma; Angioimmunoblastic T-cell Lymphoma; Intrahepatic Cholangiocarcinoma; Chondrosarcoma; Glioma; Immunoblastic Lymphadenopathy; Cholangiocarcinoma; Chondrosarcoma,Enasidenib 100 mg,Enasidenib,,,,,,,,,0.0,2021-02-23
NCT02273739,Solid Tumor; Glioma; Angioimmunoblastic T-cell Lymphoma; Intrahepatic Cholangiocarcinoma; Chondrosarcoma; Glioma; Immunoblastic Lymphadenopathy; Cholangiocarcinoma; Chondrosarcoma,Enasidenib 200 mg,Enasidenib,,,,,,,,,0.0,2021-02-23
NCT02273739,Solid Tumor; Glioma; Angioimmunoblastic T-cell Lymphoma; Intrahepatic Cholangiocarcinoma; Chondrosarcoma; Glioma; Immunoblastic Lymphadenopathy; Cholangiocarcinoma; Chondrosarcoma,Enasidenib 400 mg,Enasidenib,,,,,,,,,0.0,2021-02-23
NCT02273739,Solid Tumor; Glioma; Angioimmunoblastic T-cell Lymphoma; Intrahepatic Cholangiocarcinoma; Chondrosarcoma; Glioma; Immunoblastic Lymphadenopathy; Cholangiocarcinoma; Chondrosarcoma,Enasidenib 650 mg,Enasidenib,,,,,,,,,0.0,2021-02-23
NCT00543777,Liver Cancer; Liver Neoplasms; Liver Diseases; Fatty Liver; Liver Cirrhosis,MRE + 2PD MRI,"Magnetic Resonance Elastogram, 2-Point Dixon Magnetic Resonance Imaging",,,,,,,,,,2021-04-13
NCT01730937,"Adult Primary Hepatocellular Carcinoma; Advanced Adult Primary Liver Cancer; Recurrent Adult Primary Liver Cancer; Carcinoma, Hepatocellular",SBRT Followed by Sorafenib,"Sorafenib, stereotactic body radiation therapy",15.85,11.42,19.15,85.0,9.22,7.53,11.89,85.0,,2026-01-28
NCT01730937,"Adult Primary Hepatocellular Carcinoma; Advanced Adult Primary Liver Cancer; Recurrent Adult Primary Liver Cancer; Carcinoma, Hepatocellular",Sorafenib Alone,"Sorafenib, stereotactic body radiation therapy",12.3,10.62,14.3,92.0,5.49,3.42,6.28,92.0,,2026-01-28
NCT01177397,"Multiple Myeloma; Diffuse Large B-Cell Lymphoma; Glioblastoma Multiforme; Hepatocellular Carcinoma; Non-Small Cell Lung Cancer; Neuroendocrine Tumors of Non-Pancreatic Origin; Hormone Receptor-Positive Breast Cancer; Multiple Myeloma; Lymphoma, Large B-Cell, Diffuse; Glioblastoma; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung",Part A: CC-223 15 mg,CC-223,,,,,,,,,0.0,2022-12-13
NCT01177397,"Multiple Myeloma; Diffuse Large B-Cell Lymphoma; Glioblastoma Multiforme; Hepatocellular Carcinoma; Non-Small Cell Lung Cancer; Neuroendocrine Tumors of Non-Pancreatic Origin; Hormone Receptor-Positive Breast Cancer; Multiple Myeloma; Lymphoma, Large B-Cell, Diffuse; Glioblastoma; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung",Part A: CC-223 30 mg,CC-223,,,,,,,,,11.1,2022-12-13
NCT01177397,"Multiple Myeloma; Diffuse Large B-Cell Lymphoma; Glioblastoma Multiforme; Hepatocellular Carcinoma; Non-Small Cell Lung Cancer; Neuroendocrine Tumors of Non-Pancreatic Origin; Hormone Receptor-Positive Breast Cancer; Multiple Myeloma; Lymphoma, Large B-Cell, Diffuse; Glioblastoma; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung",Part A: CC-223 45 mg,CC-223,,,,,,,,,0.0,2022-12-13
NCT01177397,"Multiple Myeloma; Diffuse Large B-Cell Lymphoma; Glioblastoma Multiforme; Hepatocellular Carcinoma; Non-Small Cell Lung Cancer; Neuroendocrine Tumors of Non-Pancreatic Origin; Hormone Receptor-Positive Breast Cancer; Multiple Myeloma; Lymphoma, Large B-Cell, Diffuse; Glioblastoma; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung",Part A: CC-223 60 mg,CC-223,,,,,,,,,0.0,2022-12-13
NCT01177397,"Multiple Myeloma; Diffuse Large B-Cell Lymphoma; Glioblastoma Multiforme; Hepatocellular Carcinoma; Non-Small Cell Lung Cancer; Neuroendocrine Tumors of Non-Pancreatic Origin; Hormone Receptor-Positive Breast Cancer; Multiple Myeloma; Lymphoma, Large B-Cell, Diffuse; Glioblastoma; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung",Part A: CC-223 7.5 mg,CC-223,,,,,,,,,0.0,2022-12-13
NCT01177397,"Multiple Myeloma; Diffuse Large B-Cell Lymphoma; Glioblastoma Multiforme; Hepatocellular Carcinoma; Non-Small Cell Lung Cancer; Neuroendocrine Tumors of Non-Pancreatic Origin; Hormone Receptor-Positive Breast Cancer; Multiple Myeloma; Lymphoma, Large B-Cell, Diffuse; Glioblastoma; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung",Part B: Diffuse Large B-cell Lymphoma (DLBCL),CC-223,,,,,,,,,,2022-12-13
NCT01177397,"Multiple Myeloma; Diffuse Large B-Cell Lymphoma; Glioblastoma Multiforme; Hepatocellular Carcinoma; Non-Small Cell Lung Cancer; Neuroendocrine Tumors of Non-Pancreatic Origin; Hormone Receptor-Positive Breast Cancer; Multiple Myeloma; Lymphoma, Large B-Cell, Diffuse; Glioblastoma; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung",Part B: Glioblastoma Multiforme (GBM),CC-223,,,,,,,,,,2022-12-13
